,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma
49,-13.43,-45.5,2022-04-01 00:04:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.5,Cerrado
50,-13.43,-45.52,2022-04-01 00:04:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.6,Cerrado
776,-13.43,-45.52,2022-04-01 00:14:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.6,Cerrado
777,-13.43,-45.5,2022-04-01 00:14:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.5,Cerrado
868,-13.43,-45.52,2022-04-01 00:24:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.6,Cerrado
916,-13.43,-45.5,2022-04-01 00:34:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.5,Cerrado
917,-13.43,-45.52,2022-04-01 00:34:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.6,Cerrado
1666,-16.976801,-46.1115,2022-04-01 01:01:58,METOP-B,BRASILÂNDIA DE MINAS,MINAS GERAIS,Brasil,3108552,31,33,17.0,0.0,1.0,Cerrado
1667,-16.979099,-46.121101,2022-04-01 01:01:58,METOP-B,BRASILÂNDIA DE MINAS,MINAS GERAIS,Brasil,3108552,31,33,17.0,0.0,1.0,Cerrado
1668,-16.9865,-46.108898,2022-04-01 01:01:58,METOP-B,BRASILÂNDIA DE MINAS,MINAS GERAIS,Brasil,3108552,31,33,17.0,0.0,1.0,Cerrado
1669,-16.9888,-46.1185,2022-04-01 01:01:58,METOP-B,BRASILÂNDIA DE MINAS,MINAS GERAIS,Brasil,3108552,31,33,17.0,0.0,1.0,Cerrado
1785,-14.4164,-45.597198,2022-04-01 01:02:37,METOP-B,JABORANDI,BAHIA,Brasil,2917359,29,33,15.0,0.0,0.6,Cerrado
1786,-14.4261,-45.5947,2022-04-01 01:02:37,METOP-B,JABORANDI,BAHIA,Brasil,2917359,29,33,15.0,0.0,0.7,Cerrado
1787,-13.4235,-45.516998,2022-04-01 01:02:53,METOP-B,CORRENTINA,BAHIA,Brasil,2909307,29,33,6.0,0.1,0.5,Cerrado
1788,-13.4138,-45.519501,2022-04-01 01:02:53,METOP-B,CORRENTINA,BAHIA,Brasil,2909307,29,33,7.0,0.2,0.2,Cerrado
1789,-13.4109,-45.5079,2022-04-01 01:02:53,METOP-B,CORRENTINA,BAHIA,Brasil,2909307,29,33,7.0,0.2,0.2,Cerrado
1790,-13.4177,-45.493698,2022-04-01 01:02:53,METOP-B,CORRENTINA,BAHIA,Brasil,2909307,29,33,6.0,0.1,0.4,Cerrado
1791,-13.408,-45.496201,2022-04-01 01:02:53,METOP-B,CORRENTINA,BAHIA,Brasil,2909307,29,33,8.0,0.1,0.2,Cerrado
1792,-13.4206,-45.505402,2022-04-01 01:02:53,METOP-B,CORRENTINA,BAHIA,Brasil,2909307,29,33,6.0,0.1,0.4,Cerrado
1793,-12.4029,-46.668201,2022-04-01 01:03:14,METOP-B,TAGUATINGA,TOCANTINS,Brasil,1720903,17,33,3.0,1.4,0.1,Cerrado
1794,-12.4004,-46.658001,2022-04-01 01:03:14,METOP-B,TAGUATINGA,TOCANTINS,Brasil,1720903,17,33,3.0,1.5,0.1,Cerrado
1886,-13.43,-45.52,2022-04-01 01:24:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.6,Cerrado
1934,-13.43,-45.52,2022-04-01 01:34:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.6,Cerrado
1935,-13.43,-45.5,2022-04-01 01:34:02,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.1,0.5,Cerrado
2055,-14.01811,-45.58127,2022-04-01 01:41:00,TERRA_M-M,JABORANDI,BAHIA,Brasil,2917359,29,33,12.0,0.0,0.9,Cerrado
2056,-14.43118,-45.61228,2022-04-01 01:41:00,TERRA_M-M,JABORANDI,BAHIA,Brasil,2917359,29,33,15.0,0.0,0.6,Cerrado
2057,-14.42952,-45.60138,2022-04-01 01:41:00,TERRA_M-M,JABORANDI,BAHIA,Brasil,2917359,29,33,15.0,0.0,0.6,Cerrado
2058,-16.98626,-46.13478,2022-04-01 01:41:00,TERRA_M-M,BRASILÂNDIA DE MINAS,MINAS GERAIS,Brasil,3108552,31,33,17.0,0.0,0.9,Cerrado
2059,-14.42149,-45.61387,2022-04-01 01:41:00,TERRA_M-M,JABORANDI,BAHIA,Brasil,2917359,29,33,15.0,0.0,0.6,Cerrado
2060,-17.77722,-42.76571,2022-04-01 01:41:00,TERRA_M-M,ITAMARANDIBA,MINAS GERAIS,Brasil,3132503,31,33,19.0,0.0,0.4,Cerrado
2061,-16.98478,-46.1249,2022-04-01 01:41:00,TERRA_M-M,BRASILÂNDIA DE MINAS,MINAS GERAIS,Brasil,3108552,31,33,17.0,0.0,1.0,Cerrado
2063,-13.41413,-45.51739,2022-04-01 01:41:00,TERRA_M-M,CORRENTINA,BAHIA,Brasil,2909307,29,33,7.0,0.2,0.2,Cerrado
2064,-13.42402,-45.51577,2022-04-01 01:41:00,TERRA_M-M,CORRENTINA,BAHIA,Brasil,2909307,29,33,6.0,0.1,0.5,Cerrado
2065,-13.42573,-45.52705,2022-04-01 01:41:00,TERRA_M-M,CORRENTINA,BAHIA,Brasil,2909307,29,33,5.0,0.2,0.7,Cerrado
2076,-18.12147,-44.14236,2022-04-01 01:41:00,TERRA_M-M,AUGUSTO DE LIMA,MINAS GERAIS,Brasil,3104809,31,33,23.0,1.1,0.8,Cerrado
2091,-12.4016,-46.67607,2022-04-01 01:43:00,TERRA_M-M,TAGUATINGA,TOCANTINS,Brasil,1720903,17,33,3.0,1.3,0.1,Cerrado
2200,-11.44673,-43.29829,2022-04-01 01:43:00,TERRA_M-M,BARRA,BAHIA,Brasil,2902708,29,33,2.0,0.0,0.7,Cerrado
2201,-12.23809,-45.98242,2022-04-01 01:43:00,TERRA_M-M,LUÍS EDUARDO MAGALHÃES,BAHIA,Brasil,2919553,29,33,3.0,0.7,0.4,Cerrado
