,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma
14979,-4.99344,-43.7781,2022-02-01 03:40:00,NOAA-20,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,3.0,0.0,0.1,Cerrado
14980,-4.99233,-43.78469,2022-02-01 03:40:00,NOAA-20,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,3.0,0.0,0.0,Cerrado
14981,-5.8853,-45.43486,2022-02-01 03:40:00,NOAA-20,GRAJAÚ,MARANHÃO,Brasil,2104800,21,33,2.0,4.1,0.0,Cerrado
14982,-4.99289,-43.78138,2022-02-01 03:40:00,NOAA-20,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,3.0,0.0,0.0,Cerrado
14983,-4.98816,-43.7771,2022-02-01 03:40:00,NOAA-20,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,3.0,0.0,0.1,Cerrado
14986,-4.74437,-43.6561,2022-02-01 03:40:00,NOAA-20,CODÓ,MARANHÃO,Brasil,2103307,21,33,2.0,0.0,0.1,Cerrado
14987,-4.74493,-43.65288,2022-02-01 03:40:00,NOAA-20,CODÓ,MARANHÃO,Brasil,2103307,21,33,2.0,0.0,0.1,Cerrado
14988,-4.74548,-43.64968,2022-02-01 03:40:00,NOAA-20,CODÓ,MARANHÃO,Brasil,2103307,21,33,2.0,0.0,0.1,Cerrado
14989,-4.9876,-43.78035,2022-02-01 03:40:00,NOAA-20,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,3.0,0.0,0.0,Cerrado
14992,-5.29407,-43.24491,2022-02-01 03:40:00,NOAA-20,MATÕES,MARANHÃO,Brasil,2106607,21,33,2.0,0.0,0.0,Cerrado
14993,-5.29355,-43.24792,2022-02-01 03:40:00,NOAA-20,MATÕES,MARANHÃO,Brasil,2106607,21,33,2.0,0.0,0.0,Cerrado
14994,-5.29457,-43.24194,2022-02-01 03:40:00,NOAA-20,MATÕES,MARANHÃO,Brasil,2106607,21,33,2.0,0.0,0.0,Cerrado
15001,-10.94298,-45.12808,2022-02-01 03:42:00,NOAA-20,FORMOSA DO RIO PRETO,BAHIA,Brasil,2911105,29,33,0.0,1.3,0.0,Cerrado
15003,-10.94237,-45.1313,2022-02-01 03:42:00,NOAA-20,FORMOSA DO RIO PRETO,BAHIA,Brasil,2911105,29,33,0.0,1.3,0.0,Cerrado
15014,-19.43742,-44.34221,2022-02-01 03:44:00,NOAA-20,SETE LAGOAS,MINAS GERAIS,Brasil,3167202,31,33,0.0,10.5,0.0,Cerrado
15354,-5.88496,-45.43124,2022-02-01 04:31:00,NPP-375D,GRAJAÚ,MARANHÃO,Brasil,2104800,21,33,2.0,4.1,0.0,Cerrado
15355,-6.48193,-44.65371,2022-02-01 04:31:00,NPP-375D,MIRADOR,MARANHÃO,Brasil,2106706,21,33,0.0,0.1,0.0,Cerrado
15356,-6.30559,-46.27217,2022-02-01 04:31:00,NPP-375D,FORMOSA DA SERRA NEGRA,MARANHÃO,Brasil,2104099,21,33,0.0,7.3,0.0,Cerrado
15357,-5.56943,-45.02474,2022-02-01 04:31:00,NPP-375D,BARRA DO CORDA,MARANHÃO,Brasil,2101608,21,33,0.0,0.7,0.0,Cerrado
15358,-5.43165,-45.40343,2022-02-01 04:31:00,NPP-375D,BARRA DO CORDA,MARANHÃO,Brasil,2101608,21,33,1.0,6.7,0.0,Cerrado
15360,-6.13994,-46.91727,2022-02-01 04:31:00,NPP-375D,LAJEADO NOVO,MARANHÃO,Brasil,2105989,21,33,0.0,0.5,0.0,Cerrado
15361,-5.3222,-44.89759,2022-02-01 04:31:00,NPP-375D,BARRA DO CORDA,MARANHÃO,Brasil,2101608,21,33,4.0,0.4,0.1,Cerrado
15362,-6.30503,-46.27579,2022-02-01 04:31:00,NPP-375D,FORMOSA DA SERRA NEGRA,MARANHÃO,Brasil,2104099,21,33,0.0,7.2,0.0,Cerrado
15363,-5.88843,-45.43177,2022-02-01 04:31:00,NPP-375D,GRAJAÚ,MARANHÃO,Brasil,2104800,21,33,2.0,4.1,0.0,Cerrado
15368,-4.74657,-43.65386,2022-02-01 04:31:00,NPP-375D,CODÓ,MARANHÃO,Brasil,2103307,21,33,2.0,0.0,0.1,Cerrado
15369,-5.24839,-44.74833,2022-02-01 04:31:00,NPP-375D,TUNTUM,MARANHÃO,Brasil,2112308,21,33,3.0,0.0,0.4,Cerrado
15370,-5.24722,-44.74746,2022-02-01 04:31:00,NPP-375D,TUNTUM,MARANHÃO,Brasil,2112308,21,33,3.0,0.0,0.4,Cerrado
15371,-7.38813,-45.01076,2022-02-01 04:31:00,NPP-375D,SÃO FÉLIX DE BALSAS,MARANHÃO,Brasil,2110807,21,33,3.0,0.9,0.0,Cerrado
15372,-5.35191,-43.5786,2022-02-01 04:31:00,NPP-375D,MATÕES,MARANHÃO,Brasil,2106607,21,33,2.0,0.0,0.1,Cerrado
15373,-6.4932,-47.81804,2022-02-01 04:31:00,NPP-375D,SANTA TEREZINHA DO TOCANTINS,TOCANTINS,Brasil,1720002,17,33,1.0,4.6,0.0,Cerrado
15374,-6.51207,-47.6112,2022-02-01 04:31:00,NPP-375D,PALMEIRAS DO TOCANTINS,TOCANTINS,Brasil,1713809,17,33,0.0,0.6,0.0,Cerrado
15375,-5.68044,-46.50309,2022-02-01 04:31:00,NPP-375D,AMARANTE DO MARANHÃO,MARANHÃO,Brasil,2100600,21,33,2.0,3.1,0.1,Cerrado
15376,-4.99454,-43.77665,2022-02-01 04:31:00,NPP-375D,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,3.0,0.0,0.1,Cerrado
15377,-4.99387,-43.78109,2022-02-01 04:31:00,NPP-375D,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,3.0,0.0,0.0,Cerrado
15378,-4.99081,-43.77609,2022-02-01 04:31:00,NPP-375D,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,3.0,0.0,0.1,Cerrado
15379,-4.99014,-43.78055,2022-02-01 04:31:00,NPP-375D,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,3.0,0.0,0.0,Cerrado
