,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma
25,-21.07,-48.4,2022-03-01 00:03:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
26,-21.07,-48.37,2022-03-01 00:03:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
30,-13.0462,-43.528999,2022-03-01 00:04:17,METOP-B,SÍTIO DO MATO,BAHIA,Brasil,2930758,29,33,,,,Cerrado
31,-11.4455,-43.295601,2022-03-01 00:04:42,METOP-B,BARRA,BAHIA,Brasil,2902708,29,33,,,,Cerrado
98,-21.07,-48.4,2022-03-01 00:13:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
99,-21.07,-48.37,2022-03-01 00:13:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
156,-21.07,-48.4,2022-03-01 00:23:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
157,-21.07,-48.37,2022-03-01 00:23:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
362,-21.07,-48.4,2022-03-01 00:33:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
363,-21.07,-48.37,2022-03-01 00:33:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
2472,-21.07,-48.4,2022-03-01 00:43:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
2518,-21.09,-48.39,2022-03-01 00:53:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
2604,-22.916273,-48.696762,2022-03-01 01:15:07,NOAA-18D,BOTUCATU,SÃO PAULO,Brasil,3507506,35,33,,,,Cerrado
2605,-22.917744,-48.708572,2022-03-01 01:15:07,NOAA-18D,BOTUCATU,SÃO PAULO,Brasil,3507506,35,33,,,,Cerrado
2607,-22.15453,-47.982529,2022-03-01 01:15:19,NOAA-18D,BROTAS,SÃO PAULO,Brasil,3507902,35,33,,,,Cerrado
2617,-21.042765,-48.445412,2022-03-01 01:15:38,NOAA-18D,BEBEDOURO,SÃO PAULO,Brasil,3506102,35,33,,,,Cerrado
2618,-21.041363,-48.434708,2022-03-01 01:15:38,NOAA-18D,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
2619,-21.051104,-48.432575,2022-03-01 01:15:38,NOAA-18D,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
2620,-21.039963,-48.424019,2022-03-01 01:15:38,NOAA-18D,PITANGUEIRAS,SÃO PAULO,Brasil,3539509,35,33,,,,Cerrado
2823,-22.96,-48.97,2022-03-01 01:23:04,GOES-16,AVARÉ,SÃO PAULO,Brasil,3504503,35,33,,,,Cerrado
2827,-21.07,-48.4,2022-03-01 01:23:15,GOES-16,TAQUARAL,SÃO PAULO,Brasil,3553658,35,33,,,,Cerrado
3523,-22.96,-48.97,2022-03-01 01:43:04,GOES-16,AVARÉ,SÃO PAULO,Brasil,3504503,35,33,,,,Cerrado
3556,-22.96,-48.97,2022-03-01 01:53:04,GOES-16,AVARÉ,SÃO PAULO,Brasil,3504503,35,33,,,,Cerrado
3825,-22.96,-48.97,2022-03-01 02:13:04,GOES-16,AVARÉ,SÃO PAULO,Brasil,3504503,35,33,,,,Cerrado
